translated_content,sentiment
This is supposedly a brand new cpu but I saw an orange scratch mark. Probably whatever plating was slightly scratched off to expose a copper surface. I just don't think that that's acceptable for a 300+ dollar cpu. I could buy an xbox series x for that price and what I got a maybe used cpu that was run around the ring a few times.,negative
"I didn't open the processor's box until I joined all the pieces for the computer, and I was surprised that the product wasn't coming, the processor was missing. The case came with a seal, but because it turned out false, my error when I didn't open the box when it arrived, passed the period of 30 days and then I lost that money. They're only careful who buy it.",negative
Worst CPU I advised you to just buy roses its low price and it do do better job than smart cpu,negative
"This has enough power to play ALL games. I don't have a single one in my library that uses more than 50% of this CPU. It plays GTA 5, satisfaction, far cry 6, city skilines, and it can even play UEBS 2 with 4 million A.I. enemies. I've only ever seen this hit 100% on benchmarks. Just because it's an i3, don't think it's weak. 12th i3's are more powerful than i7's of older generations. Don't buy the i5, i7, or i9. This processor is still going strong and can still play modern games. Runs sounds of the forest like never hitting 100%.",positive
Bakwaaas product with mandate described graphics requirements... my worst purchase since I joined Amazon only regret......,negative
"Got as an upgrade for my i3 10th generation lga1200, as it was good value for money. So now have a PC that doesn't need upgrade for a good four years now.",positive
The processor is a pest,neutral
"Broken box, no close arrangement, useless,don't buy Plus guys",negative
Play Video very bad packaging product and Not safe product. van quality is very bad. Give you two stars. This product very high price but not proper safe parking.,negative
"The Intel i9-14400K delivers impressive performance with its high clock speeds and advanced architecture. It excellences in demanding tasks like gambling, content creation, and multitasking, offering smooth and responsible performance. The integrated graphics are decent for light playing and media tasks. However, it's power-hungry and may require robust cooling solutions. Above all, it's a top choice for enthusiasts and power users looking uncompromising performance.",positive
"Got this product in good packaging. I have sponsored this cpu with my RX 590 and 16 GB RAM 3200 MHz, If you are looking for budget gambling, this is excellent. Gaming Benchmark: Assassin's credit unit: 80 fps high setting. Apex legend: 144+ fps plus settings Pubg Steam: 110 fps, very high settings The cpu time goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put Heating properly. Stock cooler is enough. I am using msi H610M-G parentboard, the stock cooler gives enough room for ram sticks make sure to have psu of at least 500 watts.",positive
"If after a few years, I'd also get up and it was surprising that this CPU was relatively cheap for nearly 300€. I have directly added and I'm excited about performance and performance. I'd buy it again at any time. Clear shopping recommendation.",positive
"Powered small processor for the amount of money I spend on it. Replaced my i3-6100 with this. Using it right now to type this review. Plays most of my current lineup of games, although in full dysloure I haven't tested it out on the most recent batch (watch_dogs legion, or any other recent AAA). Plays Assassin's believed Syndicate OK and that game's a hot month.",positive
"Very good, super recommended",positive
My son has raised an impeccable pc less expensive than others,positive
Perfect for gaming a little limited for virtualization but sinon ok,positive
"The i7 runs a bit hotter than the 13th gene i5, but I just couldn't resist spending a bit more for those extra colors. As of 2023, it's a slow-fast CPU for the average buyer--probably too powerful for anyone but power-users and video-editors. As for gambling, it'll run many older games at a high FPS even without any help from a GPU, and it handles modern titles without any problem, too. It can run with a low-power or stock-quality cooler for daily tasks, but I'd recommend investing in water cooling if you plan to hit heavy-duty loads at it, or good-perform air cooling if you're planning to buy it once and keep running it many years into the future.",positive
"I'm running a 360 AIO, under voltted. Idle time 25°C Download it doesn't get over 60c. Renders out projects really fast.",positive
Good.,positive
"Don't let the 125w TDP crazy because this chip runs WAY cooler than before. Tested time using the OCCT stress for about 3 hours, along with my Noctua NH-D15 cooler. Note that OCCT is a heavy synthetic test that pushes the CPU to the limit. Regular time will never reach that high. I have the chip for almost two months now and accumulated quite a bit of playing hours during that time. The games I played a mix of AA titles like CoD Warzone and AC: Odysssey to light ones as Rocket League and Rainbow Siege.",negative
"Basic processor used from my home PC, does exactly what was requested and ordered",positive
I really like to overclock my cpus as once you find stability you could realize a 10% improvisation.,positive
"Play Video Purchased the least expensive Core i3 CPU just to get my Z490 built up-and-run. At the time, LGA 1200 Core i7 and i9 CPUs were either impossible or terribly overpriced (by resellers). But now this CPU has powered my Z490 system for a while, I am amazed at how good it is. See Bill McDonald's excellent comments expressing the same opinion. My DDR4 RAM is stable at 3600 MHz (XMP) and Gaming at 1080p is identical. And though I've got it water cooled, that's clear enough as it never gets hot -- even under load. Full discount: I am using a separate GPU (graphics card) for while it's",negative
Case: GOPIE Micro ATX Case T07 (branded as ABIT on the case) Motherboard: MSI MAG B760m Mortar WIFI II CPU: I9 14900k CPU Cooler: ID-COOLING SE-207-XT Slim DDR5: 64Gb T-T Team Creat Expert 6000Mhz (4 x 32Gb) 3 x2 Gen4: Lexar 1x 512GB (OS)/1 x 2TB 2TB SSD: 1 x 4TB Crucial Case Fans: thermalright TL-9015B CPU Cooler 2x Exhaust Top/1 x Exhaust rent) PSU: Montech Century Mini 750w GPU: N/A The I9 14900k is a waxmarked and runt.,neutral
"It's great, I'm using 13900k but wanted a better cpu for my 2nd PC, and it's great, especially for computer tasks and multi-threaded jobs. The raptor Lake, and going, will of course be better, but if you need the best Ageer Lake CPU and can find a decent deal, it won't let you down. I'm able to cool it efficiently with a Noctu N-14 (only stack, single of setup) and it works great.",positive
All overpriced for a 7th gen cpu,neutral
"Purchased in offer, taken on flight because it's a great process for its façade. It's never been disappointed in months of use and has the job load as it should. Only sin the very rough window, immediately sealed in favour of the previous one already in possession. A high-speed window is needed only in state and overloads, for the rest of the silent.",negative
I'm sorry.,negative
Try to get it under 10k and check the rankings in details sections before buying anything,neutral
"If you want to play a little and do professional things, this would be indicated by the distribution of the kernels you have.",negative
"It's not a national product, but it's a problem.",neutral
"The CPU is used, it was in open box, without stamps, maltreated and dirty, obviously not in the q box is shown in the publication, which dissipation, is buying a new product nothing cheap",negative
Everything was great,positive
"No notice waiting for extended use See, later on the duration",neutral
"After installing it, Windows 11 is giving the following description of the processor: 12th Gen Intel(R) Core(TM) i5-12400F 2.50 GHz It requires a graphics card.",neutral
bought for my service because he enjoys using it to play games,neutral
Excellent Product,positive
Temp is fine on an air cooled PC. The game stacked just fine and price wise it was well worth it for the speed of this small bug,positive
"Build a computer for the relative as a very early Christmas gift or a reverse birthday gift (my birthday, but I give you gifts), which honestly would be doing very little with it core/8 thread current generation processor if it's web browsing, videoconferencing, YouTube for music and the general e-mailing stuff. I put an RX 580 in it well 2666 DDR4 Ram and 2 500GB HDs. I would definitely say the thing itself is console and above performance with a simple GPU, and it'll destroy on a much more advanced GPU.",positive
"Put in an MSI Z470 slide, just finished so don't know about the playing yet, just know it runs super-fast and super cool, water cooled with a courser 280mm radiator.",positive
"Using this to serve movements and shows using PLEX, stores continuous recording of several 4K surveillance cameras using Blue Iris, runs a web server (just for family), and controls a Z-wave home automation program involving several nodes. I also use it listen to my collection of music. It does all of these tasks (long with other minor things) without a sweat. Generally it keeps under 15% use. Thank you Intel!",negative
received in a container with no box or ventilator. just the processor like this...,neutral
"Like the product, system is half together.",negative
Overpriced,neutral
"Can't run even a small game, hangs all the time. But it's with graphics processor but graphics doesn't work properly. It is with graphics processor in name only.",negative
Any products delivery was fast but never really got to use it cuz I didn't have the motherboard for it got sent the wrong model of CPU,negative
"I recently Purchased and i5 processor from Amazon, and luckily, it turned out to be defective. Despite my efforts to seek assistance from Amazon, their customer support proved helpless, leaving me frustrated with my hard-earned money seemingly down the drain.",negative
"There were new ones, but there were no other problems. It was also installed in Windows11. It also included about 45WW (revealed).",positive
"Broken, just found out.",negative
"Playing value with competitive settings, averageing 99% fps is 400+",neutral
"I've finally changed my 6700k, so far I love it, with a good cooling it's super stable!",positive
hands anything you can throw at it and begs for more,positive
All overpriced for a 7th gen cpu,neutral
I set up a system just for computers and not for gambling. So the stars in the review is that the processor works and is doing the intended job.,neutral
Used in a Z490 Divine with its PCIe 4 card for improvised performance.,neutral
I prefer between amd,neutral
"Once they came down in price, I did get an i9-14900K as an ""upgrade"" from a i9-13900KF. It's OK but I can't do it. It's more of an sides change rather than an upgrade. The i9-14900K is fast not so that I 9-13900K. For me, the Chinese R23 scores are about the same for 13th generation.",positive
Excellent cpu and great value,positive
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
"Just pair it with a GTX 1650/1660 super, a perfect combo for 60 fps (High settings with exception HBAO, Alliance TSAA / SMAA 2x). Deals heavy tasks with es A must buy at this price.",positive
"Didn't work out of the box, not sure if that was compatibility or bios issues!",negative
"A processor that deserves the pain in all aspects. The comment is going to be a little long. I apologize before. The processor is included with its common ventilator or cooler of the Intel company, it's really not big, but for an offimatic use it's more than enough. For those who suspect to mount it for a Gaming computer, you don't think so much about it. Buy this processor and you'll save a card and a mother card a bit better. Be aware that in Gaming's performance the graphics does almost all the work. Personally I've been installing a computer since 7 years ago, and it's actually works with all the current games without going through the %50 of its performance and buying it's time. I've tried it for the games to start.",positive
And a worthy upgrade to my get 6 i7 yet that still pretty good all,positive
Wrong for my computer. Not usable or honestly reviewed.,positive
"I previously Purchased the 13th Gen version of this processor and it had a defect. Intel was very good at getting a return sent via RMA, although it took anyway. I Purchased this version instead and was pleasantly surprised to see all of my issues solved. The CPU can handle everything at it. Certainly a good purchase and better than the 13th genes that seem to have more issues.",positive
"Since installing this pcu I have been sturgling with system stability. Not painted the wrong down yet, so it may be a false cpu. It could be another device causing the issue of “watchdog code errors” Update The problem was my graphics card, for some reason it needed to move to a different slot, the system is now stable. I also configured the cooling fans to provide better air flow. This cpu can run very hot when over clocking, although no over clocking benchmark tests still rates this pcu very high.",negative
"So, being an AMD fanboy, I was not on getting this, but the c/t (current to threads) kinda caught my eye. Running 12 colours, and 20 threads (4 e-cores i think) I thought, well, for the price, it should be okay? I was wrong... This cpu is a monster in my eyes. Running with 32GB of ram (dr4) and matched with the RTX 4070 GPU being cooled by the Art Liquid Freezer ii, there is nothing stopping this from performance to its max. I would recommend this part of kit to anyone, starting out or continuing on with building computers for their ""high end"" gaming etc. I have not once seen this stroke.",positive
Keeps description,neutral
"The core core is the core of the 12th generation of Intel, based on the Alder Lake architecture. It is distinguished by its gravity in 10 nm, its support of PCI 5.0 and Thunderbolt 4, as well as its compatibility with the memory DDR4 or DDR5. It is a major processor without integrated graphics circuit, which involves the use of a dedicated graphics card. The core i-12400F has 6 high performances (P-Core) and 12 threads, thanks to the Hyperreading technology. It displays a base frequency of 2.5 GHz and may reach up to 4.4 GHz in Turbo mode. It is also equipped with the base of 1st century and 1st century's laws.",negative
I'm sorry.,negative
"The package arrived through post-postino, it was perfectly packed with the Amazon applied roof, when I went to open the discovered amara, inside there was only the dissipator and no CPU.... After some check of the adapter to the call center I was issued a good pair of values. I had a rough four-hour, but soon solved by the call center.",positive
"If it has the money to save and want a processor that'll last you at least 5 years (and are a power user like I am) itss a good choice. But most people say the advantages over the 13700k aren't worth it most. If you're just using the PC as a high-end gambling rich and i7-13700k is more than enough than a 4090 GPU. This processor is designed to benefit more advanced users so I'd save the 150$ and get the earner 13700k. Also this processor is notoriously hot, so a safe night on cooler or preferably a 280mm+ watercooler AIO is necessary (especially for overclocking).",positive
"I bought an ID 1 year ago and it worked very well until there was a month ago. For I don't know why he stopped working and I already had to replace it. For the time being, it works well. I hope it will last more than one year this time. Was I just sick or there's a problem with this CPU???????",negative
Value for money,neutral
seller is trash as he will message you back when you want to send it back,neutral
"I've been able to buy KS, but I've been thinking about K, and I've been thinking about it, because there's still an increase in the mass of OCs.",positive
"It's very fast, but completely forgotten, it comes to use 220W in stress test. Before buying, find out about the forums on this issue, it doesn't matter which cooler and thermal pasta use, it's going to forget very much. The only solution is to make a slight undervoltage, or reduce loadline calibration in the BIOS. It reminded me of the i7-7700K that suffers from the same problem.",negative
"Very good processor, but it needs a good cooling.",positive
Nice,positive
"Not sure why there are so few reviews for this product. Also not sure why it's listed under parentboards. It's an amazing cpu for playing and lightly-treated jobs. Don't listen to reviews about it not working or being too hot, people are just bad mounting coolers and making sure the socket fits.",negative
Value for money,neutral
I changed for an I5. I3 does not respond to demand for games and software.,neutral
"Reciper still uses it for VR gambling, and hasn't mentioned any problems with it.",neutral
"This is not the latest model, but it's the most expensive. It's expected that intel will change significantly in the next 12th century.",positive
I'm not happy with this,negative
good,positive
Paired with GTX 1060...I will give killers' credit odyssey Solid 70 fps at high setting.... PUBG PC - Ultra(of 150fps) Farcry 4 - Ultra (over 80fps),positive
Future tried my computer,neutral
"decided to go Intel about AMD and this cpu will not disappear you. I’d recommend looking into the E-Core and Pcore information before you buy, have not noticed any issue with it but still a news event",neutral
With all my requirements,neutral
This is the first time I've ever gone for it and got an i9.,positive
"Being i3, I was killed to other generations before because of its high IPC, and in games it is noted. It runs like a 10400, in games that demand much ipc, this is above this. It has a low price for the performance it has but has something bad : the cards are face to the most stupid*. By all means, recommending it. The truth. If you understand the price of the cards, they ask you.",negative
Intel CPU is good,positive
But this image processing level is used without any specific problems.,neutral
"Got this product in good packaging. I have sponsored this cpu with my RX 590 and 16 GB RAM 3200 MHz, If you are looking for budget gambling, this is excellent. Gaming Benchmark: Assassin's credit unit: 80 fps high setting. Apex legend: 144+ fps plus settings Pubg Steam: 110 fps, very high settings The cpu time goes to 67°C max during intensive gameplay for 5-6 hours, make sure to put Heating properly. Stock cooler is enough. I am using msi H610M-G parentboard, the stock cooler gives enough room for ram sticks make sure to have psu of at least 500 watts.",positive
Bought for a friend's computer I was building.,neutral
I upgraded from i5 8th to i7 11th gene... This is superfast processor... Got 75fps on COD Warzone 2k with 1060gtx,neutral
I got this CPU to upgrade from my 11th gen i711700KF Processor. Times are a light bit toasty compared to my 11th gen CPU but pairs real well with my 4070 ti.,positive
"Sent me false processor, cost me a lot of trouble and now I am stacking email with Intel.",negative
"Great processor, able to rotate the last games quietly based on 3.7 GHz I overclocked it at 4.7 GHz based on a video card RTX 2070 super up to 150-160 FPS (on the new call of duty MW) fixed with the maximum, if active RAY TRACING the FPSs are 120 - 130 stable. PRO: - Price, I bought it at the price of 226 euros. - For games it's more than enough as it's overcrowdable and it's new generation if you didn't expect for example 200-250 fps with all the new games and all the graphic settings beyond. Against: - arrive up to a certain point, for those who play and make it is not recommended - at least one drop-down or one drop-down.",positive
"I like the CPU because of the speed and easy install with no problems. I use two 140 Cooler Master radiator fans to keep the unit cool. I completely restore my computer with a Ass Rog 790Z board, 5 M.2 drives. I get a total boat up in 15 Seconds. I use the unit for Data, Video and Music. I've used Intel chips and Assus Boards for over 30 years and never had a problem. With this package I get instant access to all my files. Very happy with my purchase.",positive
"Can't run even a small game, hangs all the time. But it's with graphics processor but graphics doesn't work properly. It is with graphics processor in name only.",negative
"For a budget CPU this schedules, on par with a old 7700K ( google it ) 4 colours and 8 threads make a great budget gambling CPU, pair it up with some DDR 2666 and a nice 1660 super and it is quite capable of 90 FPS in shadow of the tomb radar. Runs cool and quiet while saving power, sure the 3300x beats it, assuming you can even buy one Intel has one Huge advantage over AMD, Stability, what good is sped if your system has errors, usb issues, memory issues, no Intel is the king of stability!",positive
Best processor at this price segment,positive
"I honestly put it to you is qualification, because the article came into another box that is not the original, which reduces the credibility of the article, but it has been sealed. We hope and work when we decide to use it.",positive
I'm sorry.,negative
"This was bought for my son's custom build gambling computer. Only a few weeks in, but I haven't heard any complaints from him.",negative
"The product comes well, at the moment it's working wonderfully, at least I use it for PC work with documents and play well, I haven't tried it for games.",negative
I'm sorry.,negative
It's a powerful processor with 6 kernels 12 hills,positive
"The temperature of the CPU with the cooling Xilence XC044 is also not more than 30 degrees. At 15min with 100% output, the CPU does not have more than 85°C. The CPU has 6Ker and 12threads and runs with 2,6gz base stick and 4.4gz turbot.",negative
"Very good CPU, certainly the best Rocket Lake on 11400F, a dedicated advice for reducing stock and increasing prices Excellent in video games, low-heating in 65w with good ventilation",positive
"This one has no graphics processing unit and hene if you use this without graphics card, the bios will not boot.",neutral
"I've put together a few systems and run some detail 12900k chips so far and the 12900k is by far an amazingly fast CPU. Unfortunately, I ordered from Amazon came already. As soon as I opened the shipping box I could have opened it before.",negative
"I left an i7 6700k (6th generation) which had made its tab for the new i7 12700k and it's day and night. joined to a CM ASUS ROG STRIX Z690 and to cooling ROG RYUJIN II 360. He responds to my expectations, I have had difficulty between i5 12600k and this, I don't regret my purchase.",positive
"Amazing CPU, noted many improvements in performance almost anywhere (faster load times, higher FPS in games, etc.) Performance was especially noticeable in CPU heavy games such as WoW, that don't require as much GPU power and are quite bottlened by CPU. In cases like those I double FPS going from 9th gene to 13th gene Intel. One thing to note: 13th Gen Intel is HOT! You may be coming from an older CPU and used to 60-70 C temperatures at max, then you might think something wrong when this one hits the lower 90s a lot. That's just how it is. If you're worried about longevity, set an offset of",positive
Very Simple,neutral
You are not allowed to save the changes to your changes.,neutral
This motherboard will not work without external video card. No video on board.,neutral
Very Simple,neutral
"Buy this on Amazon used, for an upgrade from i-3, easy swap, run great no competitors. i5 10400f was a great budget choice for a gambling machine, without paying too much money for an upgrade. Great seller, good value",positive
It came from an i5 7500 and the increase in power is brutal to have passed 2 generations. It is noted that modern games begin to demand 6 kernels. It works luxury with AC Valhalla despite the poor optimization of the game. A great average range.,negative
I've been using it from 3 months still now issue.,neutral
"The packaging was good enough, nothing was damaged during delivery except for the big box that housed my order of both this processor and a cabinet. Didn't expect the cooler of the processor to have a factory default thermal paste already applied,",positive
"I ordered on the Thursday, got here on Saturday. CRAZY FAST DELIVERY. With no compromise on the quality of the product. Amazon prime #1",negative
"This thing never goes over 15 percent use, and most games are actually using 0-4 percent. Even on Escape From Tarkov at max settings 4k 140+ fps it's using 4 percent at max and usually is at 0-1 percent, I don't know if it's my computer reading and error but I use a few apps to check the task manager tab. I use an NZXT AIO and the time on this thing is under 20 idle and when I'm playing on any game it never goes over 45 and usually is in the law 30s. I tried WOW Classic, Cyberpunk, Spiderman, and regularly play Escape from Tarkov and all this thing is at 0-1 percent. I don't know if it's just sitting down and low use. My GPU only works as a 30-hour at 30th time.",negative
When I graduated my desktop I decided to go Intel Core i9 this time. All my previous generation built was a 6th generation core i7 6700k. it ran fine but it was up to running windows 11. So an upgrade was in order.,positive
"Currently I have my 11600kf hacked up to an AIO, 32gb of dr 4, and a 3070ti. In city skylines I’m getting less than 60fps due to my city having 75k population. So far I get 60fps at extreme/ultra/maxed out graphics for games like: Force horizons 5, MW2 (2022), Dark time 40k. I’d recommended picking up this chipset when it’s on sale.",negative
Exactly what I need,positive
The price is twice the price,neutral
Used in a Z490 Divine with its PCIe 4 card for improvised performance.,neutral
It's like staying in between budget and performance.,neutral
"The Intel i9-14400K delivers impressive performance with its high clock speeds and advanced architecture. It excellences in demanding tasks like gambling, content creation, and multitasking, offering smooth and responsible performance. The integrated graphics are decent for light playing and media tasks. However, it's power-hungry and may require robust cooling solutions. Above all, it's a top choice for enthusiasts and power users looking uncompromising performance.",positive
Lots of power for its price. Easy to overclock on my Assus Mobo. Max 75C with 35% O/C under load air cooled.,positive
"And I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it, and I'm going to get rid of it.",neutral
Rank great for a couple of days and then blue screens started and can't boot into windows.,neutral
Popular CPU choice for my clients when it comes to budget buildings. Highly recommended.,positive
"Good/fast CPU with no ""real"" packaging but it was ~£25 caper than those listed with a box!Who needs a Box eh!",negative
"This isn't the processor for everyone, but it's very fast. The individual colors are significantly different from those in the 13th generation. But if you need a lot of parallel processing then may be the processor for you.",positive
This is what is expected of its specifications.,negative
"Good Product, fast delivery",positive
"The i7700K 11th seats between the well revised i5 and the slightly less priced i9 1100k. I think at this price I got it at pre-launch sale of $399) it's a good product. It's getting more close to it and is a lot more fun to Overclock. Rocket Lake (11th gene) supports core overclocks for the two best hearts and other colors. It can also take a bit more voltage than scylace++-1.45V load relatively safe to Reddit AMA) allugh runting at slightly less than the 5800X, and it's coming down to the",positive
"For the first time I have to say that the delivery really went fix, term was focused for the next week, but the package was already Friday. I just thought all the pieces together and it could go together. So I started to pack everything on the Mainboard, and then I wanted to pack it up, I wondered what the packaging was already on, I thought, but it's still going on. I made the packaging where the CPU should be on and saw a lot of nothing, I thought, 630€ gone.",positive
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
1. for use this chip graphics card / disposal card required for mother board,neutral
"building a second station and since 12900k is out on Amazon, decided to go with the 12900ks. however, for primary pro, it is performing worse than my 12900k",neutral
"The combination of the Placa-Mama Asus Tuffing game, nvidia gtx-1050 ti and this processor is very efficient, especially for graphic creation.",negative
These who use graphics cards..,neutral
"The processor is excellent and its performance is only desired. If you doubt one of the best processors at present. However, the maximum load is difficult to refrigerate and has very high energy consumption, but in the rest of the applications consumption is often very low and keeps good temperatures.",positive
I just upgraded from a 10600kf to this 11600kf and the difference is substantial 10-20% difference across the board. everything loading fast and running smoother. PCI 4.0 is a hit with my Western digital SN850 I go from cold boat to desktop in seconds Pros Intel stability no usb issues as with AMD full support dr3200 unlocked CPU no integrated graphics is a plus in my book I get lower time and higher boost clocks because I am not powering integrated graphics that I will never use,positive
"Dont buy this processor, it doesn't work without extra graphics card.",neutral
"Processors are very expensive on Amazon, buy processor from local market, You will get the processor at very cheap rate from the local market.",negative
to local size you will find it around 27k,neutral
I was worried to buy this as there were no reviews but I took the risk and it was worth it. The packaging was really good and there was no damage to the box.,positive
Very well the processor,positive
It is not good,negative
I don't know what's going on.,neutral
"Broken box, no close arrangement, useless,don't buy Plus guys",negative
I'm here to help you!,neutral
bought for my service because he enjoys using it to play games,neutral
So coming from a 4790k. Now is the time to upgrade. This thing is blasing fast. To note: many motherboards are not on the right bios for this chip. Make sure you download the updated motherboards bios on a CLEAN drum drive and upgrade it prior to installing cpu.,positive
It doesn't come with the fancy box. It doesn't come with a cpu of that comes with the fancy box.,neutral
Huge upgrade from 8th gene i5! paired it with the ASRock Z690 and 32g DDR4,positive
I had many stability issues it is unrealistic. I did not overclock but had much trouble with the system that I stupidly replaced the board and video card. I didn't deny that I had done the damage. Literally months of troubleshooting and double expenses before I realized that the ass board defaulted to super high charge and the chip itself began to sink at an extremely fast rate. Yet I must have done something wrong with this replacement yet. This is about when the news dropped on mainboarders and those inside the,negative
I have it paired with a 3080 Strix and the GPU is doing all the work. No CPU bottleneck.,neutral
"Fast processor, with sensory performance for both work and games. Ideal for those who don't want to spend much and still have a bridge machine.",positive
I need other components to get her to work.,negative
"What to say.. Intel surprises me ever more. 3.80ghz of departure and brought to 4.1ghz without the minimum effort. And as described, I'm sure it would arrive quietly at 5.1",positive
"At the time of ZEN3's publication, I think that this is one option if we focus on price, temperature, single-range power and the balance of multi-sliding power.",neutral
I did not even got a chance to check the performance as the chip was already missing.,negative
There are no texts that have been flying from core7-870 to 12th century.,neutral
search comparisons between i5 9600k vs am rizen 5 3600 on youtube..you know the results,neutral
Quality and price,neutral
But this image processing level is used without any specific problems.,neutral
Very Simple,neutral
"Got it for my playing machine, but all my games crashed when trying to play.",neutral
Without a doubt good CPU is cool over clocked at 35 c runs good worth the money.,positive
Be sure you have adequate cooling if you plan on over clocking.,positive
PUBLIC OBJECTIVES. I CAN'T ASSESS THE SAFETY,neutral
"PRODUCT AND ROUTES OF WORK AND CONNECT AFTER MOTHERBOARD, MY FULLY MONEY AND AMAZON POLICY IS VERY BETWEEN AFTER PARCHESH AND REGION AND NOT REFUND, AND NOT IN THE TIME AND AMAZON OF VERY BAD EXPIRINCE",negative
This is supposedly a brand new cpu but I saw an orange scratch mark. Probably whatever plating was slightly scratched off to expose a copper surface. I just don't think that that's acceptable for a 300+ dollar cpu. I could buy an xbox series x for that price and what I got a maybe used cpu that was run around the ring a few times.,negative
"Don't let the 125w TDP crazy because this chip runs WAY cooler than before. Tested time using the OCCT stress for about 3 hours, along with my Noctua NH-D15 cooler. Note that OCCT is a heavy synthetic test that pushes the CPU to the limit. Regular time will never reach that high. I have the chip for almost two months now and accumulated quite a bit of playing hours during that time. The games I played a mix of AA titles like CoD Warzone and AC: Odysssey to light ones as Rocket League and Rainbow Siege.",negative
A processor for work and games ( more than 240 fps ) with high clock speed and very controlled temperatures when using liquid cooling. The processor comes in excellent conditions and time.,positive
"He had an I5 4550 and as he felt the difference, the use with his base clock and not overclocked until now, but without complaint, if I recommend it",negative
"Had a 11900K priority to this one, and as fast as it was even being overclocked to 5.3 gz - the 12900K is just a better. Put a smaller overclock to 5.2 gz and it's been so nice. P colors are free up to do what they're supposed to do.",positive
I don't know what's going on.,neutral
"Excellent Intel Processor. Used for gaming, solidworks, decoding, etc",positive
"I'm quite happy with this CPU. I'm not a computer person, just built a gambling PC. This arrived fast and was well packed.",positive
And there's no information about the return.,neutral
It was a function of the calculation function. It is not possible to use the old generation's CPU.,positive
"Recently upgraded from the Intel i5 9600k, which was starting to bottleneck when playing new games. What a huge difference! Love this processor.",positive
"For my needs, it's the perfect “bank for the Buck” balance between performance and price.",positive
OC to 5.1Ghz.,neutral
The product meets the expectation no fears!,neutral
10 July 2021 i updated from i5 4440 to i5 10400f.so definitely i will feel fast. combined with b560 for 9.9k rs & courseir cl16 3200hz for 4.5k rs. feels fast enough. all well built system in 30k with 6months em. i feel happy for the 6 core 12 thread thing,positive
"Using a Kraken X72, I'm already at 5.2 GHz on all colours. For reference, my i9-9999K peaked out at 5.0 GHz on all colours in the same setup.",neutral
"Just pair it with a GTX 1650/1660 super, a perfect combo for 60 fps (High settings with exception HBAO, Alliance TSAA / SMAA 2x). Deals heavy tasks with es A must buy at this price.",positive
"If you would be building PC just for gambling and smart editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU don't go mad with that price the Intel 12100f can easily handle GPUs up to gtx3060 or rx6800. Just go for it and say no to laugh in this price for gambling.",positive
Beats All I9,neutral
Love this little work of a chip.,positive
Packs a punch for an i5.,neutral
"I got the processor with the broken security seal, so far everything works right, but I didn't like it that way.",negative
"I just got into PC building, there are so many chips on the market after 100's of hours watching everyone's favorite youtubers I learned one thing... A lot of chips fit the specs for what you need lol.",positive
works perfectly under load. work mostly on architecture and rendering,positive
I’m very happy with this processor.,positive
"Using this to serve movements and shows using PLEX, stores continuous recording of several 4K surveillance cameras using Blue Iris, runs a web server (just for family), and controls a Z-wave home automation program involving several nodes. I also use it listen to my collection of music. It does all of these tasks (long with other minor things) without a sweat. Generally it keeps under 15% use. Thank you Intel!",negative
"In my opinion the 10700k CPU is a great high end CPU from the Intel lineup when bought at the discounted price. They offer decent performance, they are unlocked for overclocking and they still maintain the iGPU for times when you might need it. I have bought many Intel CPUs in my time and I really like it's value for money factor. It's not really worth going for the 11th Gen at the moment while there are not much performance difference between them. If you want to wait a bit longer, then wait until 12th gene gets released and compare price/performance again. If you need a CPU right now, get it from AMAZON at the right price and you'll be lucky.",positive
"Today, it is not yet mounted but for the price of 103 euros at the time of the Black Friday, it was impossible to cross this I5 12400F. It is good for the Gamings in FHD, Quad HD and 4K, a little overlock with some home card. For the streaming no problem and the little application for no too much performance, it will also do the thing. If you send down 130 euros, you will not be able to be disappointed, in+ the compatible DDR4 and DDR5, so be less evolutionary in a config.",negative
Now.,neutral
"No notice waiting for extended use See, later on the duration",neutral
World's #1 game processor,negative
Required Graphics,neutral
"I bought to improve performance in games, but mainly to use PCIe 4.0 which my I3 of 10° didn't have",positive
"I want CPU Core i7, but I don't play games.",neutral
World's #1 game processor,negative
Value given by PISS cells.,neutral
It's a top-of-the-line CPU that will last for a long time. There's nothing to distinguish about it. it replaced a 12 year 3770K!,negative
"One of the best CPUs at the performance/price report level I think. I have overclocked it easily to 5.1Ghz for 1.34V (not yet tested), and with a 50-euro based watercooling it stays around 70 degrees in the game. You need to know that if you play at 140p or more, you will not see almost any difference with an i9,9900K for example, so if you only play, i5,9600K is excellent and overclock with more ease than the above models (lower heating). I am bound to a RTX2080ti, I play in 4K and it is just enough, I do not feel limited by the CPU.",positive
"Since 4coa4slides became 4coa8slides from 4coa4s, grabo is GTX1650.",neutral
